Unnamed: 0,ID,Avg_Weighted_Score,batting_average,batting_strike_rate,bowling_average,bowling_economy_rate,bowling_strike_rate,win_ratio,team_name
103.5,796273.7067307692,20.53273607272765,27.458362372259867,126.84176546982478,19.359042832167834,6.005996503496504,14.749405594405594,0.5541564685314685,chennai super kings
245.0,439042.0266666667,18.52001067577094,22.674649615879545,117.45313503231735,24.55530909090909,6.581430303030303,17.636751515151516,0.42639999999999995,deccan chargers
394.5,837027.5892857143,19.732041931765202,25.21684996976656,125.564505224792,20.626858766233767,6.414959415584415,14.894383116883118,0.48576704545454547,delhi capitals
521.5,1028401.3333333334,19.732016711184908,24.71943474596127,126.16170762958873,28.281757575757577,6.176363636363637,20.412969696969697,0.4856666666666667,gujarat lions
544.5,1305096.75,17.6647351357966,27.820713506320896,130.15782843932365,17.862102272727274,5.169204545454545,12.990681818181818,0.5920454545454545,gujarat titans
559.5,501231.28571428574,17.182321734043423,23.50376910322269,116.41734896154485,16.872012987012987,5.10512987012987,12.801493506493506,0.49876623376623375,kochi tuskers kerala
678.0,841104.596412556,19.147797112562856,24.808487025450937,126.57360030907108,22.14987770077456,5.838344883815736,16.218361190379127,0.5028740317977987,kolkata knight riders
797.0,1304621.3333333333,20.010546319840184,26.13909086418825,133.0049172951711,21.19690909090909,5.717575757575758,15.658727272727273,0.5345454545454545,lucknow super giants
920.0,829851.1038961039,19.596504379748872,25.457977008768538,126.24534092299179,21.48155057064148,6.4990161353797715,15.84357339630067,0.5441125541125541,mumbai indians
1058.5,551287.695652174,17.629561466028626,21.52799434520304,115.39263527109442,23.194683794466403,6.422529644268775,17.70104743083004,0.38782608695652165,pune warriors
1190.5,825519.0229357798,19.333182753018388,24.598653212566077,124.62387654909321,21.12258548790659,5.843048373644704,15.258185988323604,0.48267723102585486,punjab kings
1395.5,805118.5104166666,18.566381865398462,23.561930789465723,122.93647048401459,20.946624053030302,6.465160984848485,15.481496212121213,0.4975284090909091,rajasthan royals
1506.5,1035176.8,19.02076153859754,26.051612471137453,123.0527104485046,20.474939393939394,7.3640606060606055,14.70860606060606,0.4966363636363636,rising pune supergiant
1634.5,828113.6548672566,20.400021736583984,26.300779098301028,123.58093659799125,27.887401448109415,6.317835880933226,20.056432019308126,0.490402252614642,royal challengers bangalore
1823.5,1027490.1710526316,19.882714351610417,25.43440670013438,124.60080649953828,22.214886363636364,6.967254784688995,16.25601076555024,0.4741626794258373,sunrisers hyderabad
