,team_name,ID,Avg_Weighted_Score,batting_average,batting_strike_rate,bowling_average,bowling_economy_rate,bowling_strike_rate,win_ratio
0,chennai super kings,1359475,22.578270278638445,29.333250116303216,136.23707796615602,23.076363636363638,5.245454545454545,16.426363636363636,0.47818181818181815
1,delhi capitals,1359477,18.8208560331127,22.889110925135792,128.63700133693533,12.036363636363633,9.105454545454545,9.05909090909091,0.40545454545454546
2,gujarat titans,1359475,20.203857512021145,27.182160637249165,127.63397931627702,18.846363636363638,6.262727272727273,13.552727272727275,0.5563636363636364
3,kolkata knight riders,1359476,17.27809480593808,21.45473683558884,132.71051414408845,24.435454545454547,7.8945454545454545,17.993636363636366,0.53
4,lucknow super giants,1359477,17.960605052841,24.859614931007254,133.60804086583354,21.869999999999997,6.932727272727272,15.965454545454547,0.5636363636363636
5,mumbai indians,1359479,21.46041379561395,27.8317655399045,138.41811085826163,19.485555555555557,6.072222222222222,14.358888888888892,0.52
6,punjab kings,1359476,16.41565189382148,22.491686303424974,126.4590078453145,19.166363636363634,5.233636363636363,14.04090909090909,0.49272727272727274
7,rajasthan royals,1359478,20.900159224916735,25.0751161082565,130.0880973109803,17.731818181818184,8.143636363636363,11.804545454545455,0.5027272727272728
8,royal challengers bangalore,1359479,20.545198645914862,25.802798568564178,128.2006724557784,32.345555555555556,8.621111111111112,22.05111111111111,0.5333333333333334
9,sunrisers hyderabad,1359478,14.5246029957321,17.657435430528125,116.1193501045112,24.784545454545455,8.69090909090909,16.508181818181818,0.39272727272727276
